id,name,lat,lon,type,alt
2099,Rincón de Cololó,-33.063111,-57.900222,PluvConv,29.99999999999168
2384,Rodó,-33.69675,-57.531806,PluvConv,144.0
1539,San Diego,-31.994139,-53.954722,PluvConv,121.00000000004144
2016,San Jorge,-32.842583,-55.897028,PluvConv,109.99999999998315
1951,Sánchez Grande,-32.833583,-57.732528,PluvConv,53.5
2387,Santa Adelaida,-33.768028,-57.150056,PluvConv,137.50000000000796
2430,Santa Catalina,-33.7915,-57.49175,PluvConv,152.0000000000239
1771,Sarandí de Navarro,-32.542389,-56.861667,PluvConv,146.49999999998286
2395,Sarandí Grande,-33.722306,-56.327417,PluvConv,144.00000000000801
1686,Tiatucurá,-32.312972,-56.494556,PluvConv,137.50000000004349
1220,Tranqueras,-31.190778,-55.764944,PluvConv,158.49999999998911
1665,Tres Boliches,-32.281944,-54.162889,PluvConv,117.50000000000873
1792,Tres Islas,-32.514861,-54.688389,PluvConv,173.50000000003436
33333,Tres Puentes,-31.411444,-55.238972,PluvConv,166.9999999999785
1440,Valle Edén,-31.823972,-56.174611,PluvConv,173.9999999999372
1454,Vichadero,-31.778917,-54.6915,PluvConv,241.50000000000526
2164,Villa Carmen,-33.24175,-56.012222,PluvConv,163.49999999999176
2098,Villa Darwin,-33.12175,-57.639417,PluvConv,42.00000000000829
1484,Ansina,-31.876361,-55.467444,EstAut,113.50000000001566
2157,Barra de Porongos,-33.250556,-56.815556,EstAut,79.49999999999179
1339,Cuñapirú,-31.529722,-55.584167,EstAut,126.00000000006398
1963,E.M. Bonete,-32.833333,-56.423333,EstAut,85.50000000003371
2206,E.M. Durazno,-33.351056,-56.502,EstAut,92.50000000002451
2145,E.M. Mercedes,-33.250417,-58.068611,EstAut,14.499999999983551
2052,E.M. Palmar,-33.067,-57.460389,EstAut,45.99999999992518
1915,E.M. Paso de los Toros,-32.798694,-56.528833,EstAut,80.00000000002535
1697,Laguna II,-32.344028,-55.46425,EstAut,91.5
1338,Manuel Díaz,-31.528028,-55.684333,EstAut,130.49999999997334
1658,Paso Aguiar,-32.285056,-54.841,EstAut,104.50000000000873
1613,Paso de las Toscas,-32.156861,-55.026306,EstAut,116.4999999999649
1523,Paso de los Novillos,-31.972806,-55.671389,EstAut,108.5
2153,Paso de Lugo,-33.253222,-57.260083,EstAut,53.49999999997533
1653,Paso Laguna,-32.250361,-55.422083,EstAut,98.49999999999127
1741,Paso Las Piedras,-32.450944,-55.446306,EstAut,116.00000000000861
1617,Paso Mazangano,-32.107333,-54.674222,EstAut,123.4999999999648
1743,Paso Pereira,-32.443472,-55.22625,EstAut,96.5
1526,Picada de Coelho,-32.039444,-55.360694,EstAut,108.00000000000884
1558,Piedra Sola,-32.082167,-56.308139,EstAut,252.50000000001765
2257,Polanco del Yi,-33.390889,-56.156306,EstAut,95.99999999999184
1819,Salsipuedes,-32.647778,-56.592111,EstAut,61.49999999999147
1826,San Gregorio,-32.620611,-55.829167,EstAut,82.99999999996585
2215,Sarandí del Yi,-33.333111,-55.621,EstAut,135.50000000000003
1960,UTE Baygorria,-32.874333,-56.80625,EstAut,55.000000000134534
2237,Villa Soriano,-33.390889,-58.318111,EstAut,2.499999999991843
